semantic_level,sentence
3,However between 1.5GB and 6GB the relative recall increases and somewhat recovers to 3.1 and is (projected) to continue rising in relation to the number of GB.
3,This suggests that after 15MB there is a positive relationship between relative recall and dataset size.
3,"As datasets increase, relative recall increases as well, except for datasets of capacity less than 150MB."
3,For small datasets (1.15M to 150MB) the relative recall drops rapidly.
3,"However, as the dataset size continues to increase (1.15GB to 15GB) the relative recall also gradually increases with it."
3,"The increase in relative recall is linear with increase of data sets, between 15MB and 15GB, with 150MB having an abnormally lower value."
3,"Opposed to this tendency, the highest relative recall value is registered at 1.5MB, 1.5 times higher than 15GB Projected value."
2,The relative recall is initially highest for the 1.5MB dataset.
3,"Between 15MB and 150MB, the relative recall drops rapidly."
3,"From 1.5GB to 15GB, the relative recall goes up again, following a linear trend."
2,The relative recall decreases to its lowest point at 15MB and 150MB.
3,Then it is gradually increasing again from 1.5GB to 15GB.
2,The highest relative recall rate is for 1.5MB at just over 6.0.
2,This trend drops to just over 1.0 for 15MB.
3,It drops further to under 1.00 for 150MB.
2,"After this it starts rising again to 2.00 for 1.5GB, just over 3.00 for 6GB and just under 4.00 for 15GB."
3,The drop is steep between 1.5MB and 150MB and then rises at a more gradual rate between 150MB and 15GB.
3,The relative recall pattern decreases drastically at 1.5 to 15MB.
3,It continued to decrease till 150MB.
3,It started increasing little by little till it gets to 15GB.
1,A multi-line chart entitled “Title” that plots the stock price of big tech corporations by year.
1,"The corporations include AAPL (Apple), AMZN (Amazon), GOOG (Google), IBM (IBM), and MSFT (Microsoft)."
1,The years are plotted on the horizontal x-axis from 2000 to 2010 with an increment of 2 years.
1,The prices are plotted on the vertical y-axis from 0 to 800 with an increment of 200.
3,All stock prices apart from Google increase steadily.
4,As Google starts to become more popular and buy out other companies its stock price increases.
4,"The continuous expansion of the internet has also changed how people use Google, and how necessary Google has become."
3,"Once GOOG took off, it quickly became the most valuable tech company."
3,From 2010 AAPL the second most valuable after a steady growth period.
4,"In the last quarter of 2008, all companies experienced a slump probably due to the economic crisis of the time."
2,GOOG took the biggest hit with MSFT taking the smallest.
4,"At the beginning of 2008, every of this stock price went down, likely due to the financial crisis."
3,"Then they have risen again and dropped again, more so than previously."
3,The corporation named GOOG rose high up with stock prices as it started running in half of 2014.
3,The corporation named GOOG has the most expensive stock price for a Big Tech corporation in the overview.
3,"Beneath GOOG, there is corporation named AAPL, scoring second place after it rose up after 2007."
3,"In mid-2004, the GOOG stock price suddenly started to increase drastically."
3,"At the end of 2008, GOOG experienced a major dip in its stock price, as did the other companies (but to a lesser extent)."
4,"From 2000 to 2004 the GOOG stock price did not exist at all, due to the fact that the company didn't yet exist."
4,"From the end of 2000 to 2004, the AAPL stock price was also very low, possibly because this was prior to the release of the iPhone."
3,Google took off from 2004 to 2008 and then took a big hit in 2008.
3,"All the other stock prices stay mostly steady for ten years, gradually rising, but nowhere close to as much as Google."
4,"GOOG was born after all the others (2004) and since it's birth it's been the most valuable around even with it's highs and lows, it's highest price was 710 in the middle of 2007, it's lower was 200 in the middle of 2004."
3,"IBM has almost had the same value over the years, with a slight depression from 2002 to 2007 but still keeping it's value around 100."
3,"AAPL started real low and started growing in 2004, after that it kept a pattern of growth and drop, it's highest was 215 in 2010, it's lowest is around 10 in 2003."
3,"AMZN started a bit bigger but went low over the course of 2000, it started growing in 2003 and has since followed a high low pattern like AAPL, lowest value is around 0 in the middle of 2001, highest 120 at the end of 2019."
3,MSFT has had no particular growth or drop and kept its value at around 10 over the course of the years.
4,Google stock prices surged somewhere around 2005 - possibly related to the success of YouTube.
4,It was also around that time when the Google search engine became really dominant.
4,"All companies' stock prices fell down somewhere in 2007-2008 (due to the financial crisis), but bounced back afterwards."
3,"Google has the highest stock price, while Microsoft's stock price seems like the most stable one."
4,"Apple stock prices started to rise after 2009, probably related to the iPhone's (and smartphones in general) growth in popularity."
3,"In mid-2004, GOOG shares surged up, permanently exceeding the prices of the other four companies."
4,GOOG has experienced both significant drops (due to the 2008 crash) and significant gains.
3,"However, the remaining companies are more or less stable."
3,They do not have such large price fluctuations as GOOG.
3,"IBM, AMZN and MSFT all remain in similar sale heights throughout the chart's time span."
3,"Since 2004, GOOG has the highest stock prices of all the companies."
3,"IBM, AMZN and MSFT remain closer to the bottom of the chart in every year."
2,GOOG has the highest price over the years.
2,MSFT has the lowest price over the years.
3,GOOG quickly became the richest one of the Big Tech corporations.
4,"GOOG had experienced some kind of a crisis in 2009, because their prices drop rapidly, but then rebound."
2,Google has the greatest price over time and Microsoft has the lowest price over time.
3,Google has also had the most dramatic increases over time.
3,Tech company prices are steadily increasing overtime and despite set backs are likely to do so.
3,Stock prices for tech companies vary drastically over time but generally increase in the long run.
4,The more stable stock is in companies that manufacture computers while those that are closer to new technology increase and decrease and are less stable.
2,The corporation with the greatest price over time is GOOG.
2,The corporation with the lowest price over time is MSFT.
3,All the companies experienced a dip in prices right before 2009.
4,"The financial crisis of 2008 had an effect on the stock prices of Big Tech companies, which is what caused a large dip right before 2009."
4,"Though after this crisis, they all seemed to rebound pretty quickly and continued to increase at 2010."
2,GOOG has the greatest price over time and MSFT has the lowest.
3,"On average the price of the big tech corporations has increased over time, especially for GOOG."
3,"The price of MSFT has decreased over time and the prices of AAPL, AMZN, and IBM  have not increased as much as GOOG."
2,GOOG has the greatest price over time.
2,MSFT has the lowest price over time.
3,Prices of particular Big Tech corporations seem to fluctuate but nevertheless increase overtime.
3,Years 2008-2009 are exceptions as we can see extreme drop in prices of all given Corporations.
4,The big drop in prices was caused by Financial crisis of 2007-2008.
4,"The crisis culminated with the bankruptcy of Lehman Brothers on September 15, 2008 and an international banking crisis."
2,"Since mid-2004, GOOG had a steep increase in its stock price, and has the highest stock price."
3,"MSFT has the lowest stock price since around mid 2004, and there has been little change in its stock price over the years."
3,"GOOG had a very steep increase in its stock price since mid-2004, before which it was close to zero according to the chart."
3,AMZN shows little but steady increase in its price over time.
3,MSFT has been maintaining a steady and low stock price.
4,"GOOG had a steep increase in its stock price since mid-2004 and reached its peak in late 2007, but had a sharp decline around year 2009, which may have been due to the global economic depression at the time."
3,"However, it returned to the original price range by year 2010."
1,A multi-line plot entitled “Unemployment rates in the Palestinian Territories” that plots unemployment rate by year.
1,The unemployment rate is plotted on the vertical y-axis from 0 to 50%.
1,The year is plotted on the horizontal x-axis from 1995 to 2014.
1,The Gaza Strip is plotted in purple.
1,The West Bank is plotted in blue.
2,The Gaza Strip already can be seen to have higher unemployment compared to West Bank.
3,The patterns both move quite similarly until around 2003.
3,"However, while West Bank's goes down to less than 20% over the years 2002-2014, the Gaza Strip's unemployment rates go up and down in zig zags, hitting a point at 40% in 2008 where it stays fairly steady, until it starts going down in 2010."
3,It starts raising again to nearly 50% in 2013.
2,Palestinian unemployment rates reached an all time high in the Gaza Strip territory at about 45%.
2,The West Bank territories are at a much lower 12%.
3,Both territory unemployment rates initially rose to 32% for the Gaza Strip and 19% for West Bank territories in 1996 before dropping their lowest low.
2,Both the West Bank and Gaza Strip territories unemployment rates dropped their lowest between 1996 to 2000 with the Gaza Strip reaching 18% and West Bank 9%.
3,The West Bank territory rates have been on a steady decline since 2002 when they hit a peak of about 28%.
3,"Unlike the West Bank territory, the Gaza Strip territory rates fluctuated between 2002 and 2007 where they rose to about 35% and dropped to 28-30% twice in a row."
3,Both territory unemployment rates initially rose to 32% for the Gaza Strip and 19% for West Bank territories before dropping.
2,"The lowest unemployment rates have been in 1999 for both Palestinian Territories, 20 percent for Gaza Strip, 10 percent for the West Bank."
2,"The highest unemployment rate for Gaza Strip is in 2014 at 45 percent, while 30 percent for The West Bank in 2002."
3,"The Gaza Strip and West Bank, being at different Unemployment numbers, such numbers fluctuates the same way, from 1995 to 2000."
3,"For both the Gaza Strip and the West Bank, we can notice the spike in 1996, then going down again in 1999, then spike at 2002 and somewhat the same numbers until 2013, where the Gaza Strip gains but the West Bank continues to decline."
2,"Before the year 2000, both territories reached their lowest numbers."
2,"The unemployment rate in Gaza Strip decreased from 30% to less than 20% between 1996 and 1999, to rise again and reach almost 40% in 2002."
3,"The rate kept going up and down from about 30% to 35% until 2013, and then increased to about 45% in 2014."
2,"The unemployment rate in West Bank decreased from 20% to 10% between 1996 and 1999, then it rose and reached almost 30% in 2002."
3,"This is in contrast to what was seen in the West Bank territory, where the unemployment rate constantly decreased during these years and never rose again."
3,Both unemployment rates seem to run parallel up to 2007.
3,"From 2007 unemployment rates in Gaza Strip clearly went up, while the rates in West Bank remained quite stable."
3,Unemployment rates in Gaza Strip tend to undergo more sudden changes that their West Bank counterpart.
2,"In 2004, unemployment rates have skyrocketed to 45% in Gaza Strip while rates in West Bank have gone below 20%."
3,"Latest unemployment rates suggest a minimum of 25% difference between territories, with West Bank holding the advantage."
3,"Both graphs have a similar development until 2003, with the West Bank always having a slightly lower unemployment."
2,"For both regions, the unemployment rate was the lowest in 1999."
3,"In the West Bank, the unemployment rate has been decreasing slowly since 2003."
2,"In the Gaza Strip, the unemployment rate ranges from 30 to roughly 45 percent from 2003 to 2011."
3,There was a slow increase in unemployment in the Gaza strip from 2011 to 2013 and a steep increase from 2013 onward.
2,"Throughout, the Gaza Strip has the higher unemployment than the West Bank."
3,The Gaza Strip also had also many ups and downs each year.
2,The Gaza Strip had its lowest unemployment rate registered between 1996 and 1999.
2,The Gaza Strip had its highest unemployment rate registered in 2014.
2,The West Bank had the lowest unemployment rate throughout.
3,There's also a declining trend in the West Bank between 1996 and 1999 registering the lowest rate of unemployment.
2,In the West Bank the lowest rate was registered in 1999.
3,The West Bank began trending downward in 2002.
3,From 1995 to 2002 the pattern of unemployment rates in the Gaza Strip and The West Bank was similar.
2,"However, in 2002 the unemployment in the West Bank has decreased to 18%."
3,"Meanwhile, in the Gaza Strip, the rate of unemployment has been going up and down from 2002 to 2011."
2,Since 2011 there have been more unemployed people in Gaza Strip than in The West Bank.
2,In 2014 the unemployment in The West Bank is 15 % but in Gaza Strip 45%.
3,"The West Bank has a far more consistent unemployment rate, whereas the Gaza Strip is much more up and down."
3,Both had major spikes in 2002.
3,"When the Gaza Strip unemployment spiked post 2002, the West Bank unemployment does the opposite."
1,"A multi-line plot entitled “Average Labor Force Participation by Genders, 1991-2017” that plots Labor Force Participation Rate by Year."
1,The Labor Force Participation Rate is plotted on the vertical y-axis from 40 to 80.
1,The Year is plotted on the horizontal x-axis from 1990 to 2018.
1,Male is plotted in blue and Female is plotted in pink.
3,The average labor force participation for women has risen dramatically.
3,The average labor force participation for man has lowered slightly.
3,The average for both genders started in 1991 with a very wide gap between the two (about 70% for men and 50% for women).
3,The average labor force participation for women has had a peak in 2016 and then continued to raise progressively.
3,"The average labor force participation for men has had a couple of peaks in 1993 and 1996, but it has gradually decreased over the years."
3,The average for the two genders are now very similar and both seem to be rising.
3,The rate of female participation in the labor force has increased significantly and steadily over the course of 16 years.
3,"Comparatively, the rate of male participation in the labor force has decreased and stagnated, but still has a majority in the labor force."
4,This trend suggests that women have been hired at a much higher rate than ever before.
2,The difference in 2017 between the two sexes is incredibly close to the number of females coming within 2 percent of males.
3,"As time goes on, we might project that the rate of female participation in the labor force may be higher than the rate for males."
2,"Since 1991, more women are joining the workforce."
2,"Since 1991, fewer men are joining the workforce."
3,The rate of labor force participation by gender is beginning to look more equal.
3,We can see that as the years go by and the labor force participation rate for woman in the world has been changing: their participation has been increasing dramatically.
3,By contrast the labor force participation rate for men has decreased a a little bit.
3,Difference in labor force participation rate between males and females has decreased to be almost equal in the last 30 years.
3,"This difference decrease is due to high increase in female participation, from 50% to 66%, and small decrease in male participation, from 71% to 68%."
2,The male rate is still a little higher than female rate in 2017.
3,The tendency seems to be equal values in the near future.
2,"The female labor force participation increased over the years, in contrast to the male rate which decreased."
3,In the upcoming years females may have higher rate of labor force participation.
3,"In the year of 1990, it is seen that this is where women began to gain jobs."
4,As time passes the female rate has some slight peaks and troughs (either due to cultural differences other reasons).
4,"Since 1990 the male labor force participation rate has been highest overall, but it is slightly decreasing (possibly due to the greater participation in the labor force by women)."
3,The trend suggests that in the future there will be a point where the male and female rates are roughly equal.
3,In 1996 both Genders went up significantly at the same time.
3,In 2017 both male and female rates were beginning to increases.
2,1996 has a peak for both female and male rates.
3,At the beginning of the timeline (in 1990) the female labor participation rate was dramatically less than the male rate.
3,The female rate seems to be catching up to the male one toward the end of the timeline (in 2018).
3,The female rate is more unstable than the male rate.
2,"Overall, the male rate is higher than the female rate in every year."
3,"After year 1996, male labor force participation decreased."
3,"After year 2002, female labor force participation increased."
2,At highest point male labor force participation was around 71.
2,At highest point female labor force participation was around 66.
3,At the end of visualization male labor participation started to increase.
1,"A line plot entitled “Auto industry employment has grown since the rescue” and subtitled “Total private payrolls in motor vehicles and parts (manufacturing and retail trade), seasonally-adjusted”."
1,"The number of payrolls is plotted on the vertical y-axis from 2,200 to 2,450 in Thousands of payrolls."
1,The Year is plotted on the horizontal x-axis from Jan 2009 to 2012.
1,"An annotation reads: “Auto industry employment +207,600 since June 2009”."
1,Another annotation indicates the time “Post-restructuring of GM & Chrysler after June 2009”.
3,"The number of payrolls in the auto industry has grown dramatically since June 2009, when GM and Chrysler were restructured."
3,This indicates a significant rebound from earlier in 2009 when the number of payrolls fell off steeply.
3,"Since the restructuring, employment in the auto industry has continued to grow linearly."
2,In June 2019 the auto industry employment hit the the bottom rock.
3,Since June 2019 employment in the auto industry had a steep rise.
2,"Over 207,600 people have been employed since June 2019."
2,There is still a continuous rise in employment in 2012.
3,There is a huge decrease in the employment rates of the auto industry at around June 2009.
3,"After the huge drop, the rate of employment has been steadily rising."
2,"By 2012, there are over 2,450 payrolls."
2,"In the middle of 2009, before the restructuring of GM & Chrysler, the number of payrolls was very low, reaching the lowest point at 2,250 thousands of payrolls."
3,"Post the restructuring of GM & Chrysler, the values sky-rocketed, reaching the highest point in 2012 with more that 2,450 thousands of payrolls."
4,Employment in the auto-industry decreased significantly in early 2009 (likely due to the financial crisis).
3,Employment then rebounded to higher-than-before after the restructuring of GM and Chrysler.
1,The graph shows how the restructuring of GM and Chrysler contributed to gains in auto-industry employment.
3,"However, the graph only shows part of the information: if the y-axis started from zero (and not at 2,200) the difference would not look as significant."
4,Since The financial crisis the auto industry employment levels have risen consistently each year.
2,"From a low of 2,250 in 2009 to a high of 2,450 in 2012."
4,"The financial crisis of 2008 hit the car industry hard with over 100,000 losing their jobs in one year."
3,"However, since the start of the graph in Jan 2009, there has been a net increase in employment of 60,000 jobs."
4,This shows that the auto industry has recovered from the lows experienced in the financial crisis.
3,"Employment steadily decreased until 2009 when it had an all-time low around 2,250."
3,"Then, after the rescue, it began to increase until it reached it's all time high in 2012 at 2,450."
3,"In the first half of 2009 the auto industry suffered a steep drop in payroll from just under 2,400 to 2,250."
3,"During the second half of 2009 it went up, but also decreased again slightly at one point (but never to below the previous lowest level)."
3,"Between 2010 and 2012 it went up steeply to over 2,450, higher than its previous highest level in 2009."
3,From the start of 2009 to June there is a sharp fall of almost 150k jobs.
3,"Immediately after the restructuring, there is a rise in employment, but this doesn't rise steadily and even starts to decline."
3,The rest of 2009 has jobs wibbling about but not showing a clear up or down trend.
3,In 2010-2011 the upward trending of jobs becomes clear; the upward trend continues in 2011-2012.
3,"At the start of 2011, the employment figures get back to where they were at the start of 2009, and keep going up."
1,A multi-line chart entitled “Lower and Delay the Epidemic Peak” that plots the number of cases by the time since first case.
1,The number of cases is plotted on the vertical y-axis.
1,The Time since first case is plotted on the horizontal x-axis.
1,One of the lines is dotted and represents “uncontrolled transmission”.
1,Another line is solid and represents “with controls”.
1,"A horizontal dashed line represents “healthcare system capacity (ICUs, ER visits, etc.)”."
1,An annotation reads “control measures slow the spread of disease and reduce burden on hospitals.”
1,The visualization shows the course of an epidemic for both with and without implementation of control measures.
3,The number of cases rises sharply with very little time and peaks earlier in the case of uncontrolled transmissions.
3,Uncontrolled transmissions cause great stress to the healthcare system due to an overwhelming amount of infections.
3,The number of cases rises slowly and peaks later for an epidemic where control measures are implemented.
3,"The healthcare systems are not stressed as easily when control measures are implemented, and coping with the epidemic becomes possible."
3,"We can observe that in both cases,controlled and uncontrolled transmission, the limit of the healthcare system has been reached."
3,In the uncontrolled transmission the epidemic raised in a very little amount of time and has surpassed way over the point that the healthcare system can handle and can is completely devastated by it.
3,"On the other hand, we can see that on the peek of the controlled transmission the healthcare system can handle it and help those who are sick from the virus."
3,"From the visualization we can see and learn that following all the measures such as, handwashing, teleworking, minimizing travel, avoiding crowded gatherings and many more, can limit the spread of the epidemic and help the healthcare system to succeed and help everyone."
3,The most important variable in this visualization is the time: the epidemic can do most damage in a short amount of time if it is allowed to spread uncontrolled.
3,"If we can control its spread, then we will have more time to deal with it and suppress it."
3,"From the time of the first case, if control measures are not included the number of cases rise steeply until saturation is reached, greatly exceeding capacity of the healthcare system."
3,The number of cases eventually decreases and/or rate of transmission eventually slows down.
3,"With control measures put in place, the number of cases increase steadily but at a much lower rate and only slightly rises to the capacity of the healthcare system."
3,"With controls, the number of cases are a lot less and transmission rate is much lower but for a longer period of time."
3,"Without control measures the spread of the disease increases exponentially, making it harder to slow down and creating a big overload in the healthcare system."
4,Control measures provide security and protection to society.
3,"If the transmission is uncontrolled, the epidemic ends sooner."
3,"If the transmission is controlled, the epidemic ends later."
3,"If the transmission is uncontrolled, there are more simultaneous cases."
3,"If the transmission is controlled, there are fewer simultaneous cases."
3,"If the transmission is uncontrolled, the healthcare system cannot support all the cases."
3,"If the transmission is controlled, the healthcare system can support all the cases."
3,"The use of control measures allows us to support all the cases over time, although the epidemic may last longer."
3,With all control measures in place transmission can be suppressed to a level that is within the healthcare system's capacity.
3,With control measures the spread will be much slower and more controlled than if there are no control measures.
3,"Without any control measures, the disease spreads at a pace way higher than what the healthcare system can handle."
3,"Taking the necessary measures, the system is still slightly overflowed by patients, but it is considerably easier to manage."
3,Without control measures the number of cases greatly exceeds the capacity of the healthcare system.
3,"With control measures, the number of cases never greatly exceeds the capacity of the healthcare system."
4,"The pandemic might last long with control measures in place, but more lives will be saved."
3,The healthcare system capacity will break if the virus is left uncontrolled.
4,"The number of cases is dramatically higher without controls, and this will likely lead to many deaths."
4,"In contrast, when controlled, the healthcare system capacity can handle all of the cases over a longer period of time, and this will save lives."
2,The chart shows two possible extremes of the rate of rise and decline of COVID-19 cases.
4,"The purpose of the chart is not to provide exact numbers, but to communicate to the public that there are multiple ways the current crisis can play out."
3,"A red gradient is used on the ""uncontrolled"" curve to emphasize the severity of how much the health system will be overloaded."
3,Even the best case controlled scenario predicts that the healthcare system will be overloaded a little bit at the peak.
3,"The controlled scenario suggests a slower rise AND a quicker decline, while the worst-case uncontrolled scenario shows a bell curve shape with a rapid and disastrous rise followed by a steep decline at the same rate."
1,A multi-line chart entitled “US ad spending forecast” that plots spending by year.
1,Ad spending is plotted on the vertical y-axis from 0 to $100 billion.
1,The Year is plotted on the horizontal x-axis from 2010 to 2019.
1,"Different media are encoded by different colors: TV (light blue), Print (dark blue), Mobile (light purple), and All digital (dark purple)."
3,The TV industry maintained consistent ad spending rates when compared to other industries in US.
2,The mobile industry had a great rise in ad spending.
2,The money spent on ads in the print industry is declining in US.
4,The digital industry has the highest money spent on ads and this suggests that advertisers view digital as the future.
2,The ad spending for TV has risen gradually from around 60 billion to 75 billion from 2010 to 2019.
2,This was the smallest increase of the media types that increased.
2,"For example, All Digital ad spending increased rapidly from 25 billion to around 90 billion in this time period."
3,Initially Mobile increased steadily but from 2014 it increased rapidly until 2019.
3,"By contrast, Print has been steadily decreasing."
4,It could be concluded that Digital media (such as TV advertising and particularly Mobile) in recent years is more popular and is now taking over traditional Print media.
3,Mobile and All Digital ad spending forecasts have grown significantly.
3,"TV and Print ad spending forecasts have mostly stayed the same, with TV increasing slightly and Print declining slightly."
4,Mobile ad spending in the US has risen due to the number of people with access to a mobile phone increasing.
4,Mobile ad spending in the US has increased due to the growth of platforms like Facebook and YouTube.
3,"For the most part, TV is the primary medium for advertisement in the US, and remained consistent through 2010 to 2019."
2,All Digital ad spending rose by 50% from 2010 to 2019.
3,Mobile ad spending in the US has been rising rapidly since 2014.
3,There is a slow decline of Print ad spending.
3,All Digital ad spending has been rapidly increasing.
3,"The spending on TV ads in the US was forecasted to increase, at a relatively constant rate from 2010 to 2019."
3,"The spending on mobile ads in the US was forecasted to decrease, at a relatively constant rate from 2010 to 2019."
3,The spending on All Digital ads in the US was forecasted to increase at a higher rate than TV.
3,Mobile was forecasted to barely be a present ad market to increase considerably.
3,"The increase in Mobile ad spending was expected to show an increasing marginal change until 2016, where the marginal increase would diminish somewhat."
2,The All Digital and Mobile ad spending forecasts show a higher marginal increase rate than the TV ad spending.
2,Print ad spending is the only variable with an expected negative tendency.
3,The forecast suggests that the market for All Digital and Mobile advertisements would grow considerably.
3,"The forecast suggests that the market for TV advertisements would grow constantly, but less than for Mobile and All Digital."
2,The market for Print is expected to decrease.
1,The forecast displays expected trends in the market.
3,"US ad spending forecast in the past decade for various media has: gradually and slightly declined for Print, gradually and slightly increased for TV, been on an upward trajectory for Mobile from its inception at the beginning of the decade, and moved in a linearly increasing trend for All Digital."
3,"Overall, ad spending is higher than ever."
2,Ad spending for All Digital media is approx 3.75 times the amount at the beginning of the decade.
3,The US ad spending for Mobile and All Digital has risen sharply over the years.
3,Print has been slowly declining.
2,TV has a constant rise.
3,All Digital started with little ad spending (around $25 billion) and evolved surpassing all others (almost $100 billion).
2,The biggest ad spending belongs to Mobile and All Digital.
2,Mobile has grown by almost $60 billion in 9 years.
2,"All Digital devices have also had a large increase in the last 9 years, spending $50 billion since 2010."
3,TV was spending almost the same amount on ads in 2019 than they were in 2010.
3,Print media is the only one that has decreased in ad spending.
4,"This suggests that companies are buying ads in All Digital and Mobile media, likely because social media is becoming more and more popular amongst people."
4,"However, Print is not as popular as it used to be, that's why companies are not buying ads in print media."
2,The US ad spending in Print media is in constant decline.
2,The US ad spending in All Digital is the highest as of 2019.
3,"The All Digital US ad spending is on a linear growth trend, surpassing the ad spending on TV by the end of 2016."
2,"The TV ad spending shows the lowest amount of growth (excluding Print, which is in constant decline)."
2,Mobile ad spending has also seen a linear increase.
1,A multi-line chart entitled “US unemployment rate by race/ethnicity” that plots unemployment rate by year.
1,The unemployment rate is plotted on the vertical y-axis from 0 to 20%.
1,The Year is plotted on the horizontal x-axis from 2006 to 2015.
1,"Different racial demographics are encoded by different colors: Black (light blue), Hispanic/Latino (medium blue), White (dark blue), and Asian (darkest blue)."
3,Companies tend to not hire Black and Hispanic/Latino people.
2,White and Asian people have lower rates of unemployment.
2,Black people have the highest unemployment rate over the years compared to others.
2,Asian people has the lowest unemployment rate over the years compared to others.
2,The unemployment rate was highest around 2009 to 2011 for all races/ethnicities.
3,The unemployment rate started to decrease steadily for all races/ethnicities in the year 2012.
4,There was a rise in unemployment for every race through the 2008 recession and have since almost recovered by 2015.
2,Black people have the highest unemployment rate.
3,"White and Asian people have very similar, low unemployment rates at around 4%."
2,Black and Hispanic/Latino people have the highest unemployment rates in the US.
3,Through 2006 to 2015 there is still a huge disparity in employment between the Black and White people.
3,"Although the percentage of unemployment changes through the years, Black people are the most affected by unemployment."
2,Unemployment for all races peaked between 2010 and 2011.
2,The lowest rates of unemployment for all races were between 2007 and 2008.
2,Black and Hispanic/Latino people have the highest rates of unemployment.
2,Black people have the highest unemployment rates every single year.
2,Hispanic/Latino people have the 2nd to highest unemployment rates every single year.
3,"Most of the years, White people have the 2nd to lowest unemployment rates."
3,"Most of the years, Asian people have the lowest unemployment rates."
3,"For a small period of time around 2014, White people had a lower unemployment rate than Asian people."
3,There was a spike in unemployment for all races/ethnicities between 2007 and around 2010.
3,"Since 2010, the unemployment rates for all races/ethnicities gradually dropped."
2,The highest unemployment rate of all time was a little over 16% for Black people.
2,The lowest unemployment rate of all time was a little under 4% for Asian people.
2,"The unemployment rate in the US has, throughout all the years between 2006-2015, been the highest for Black people."
2,"The unemployment rate in the US has, throughout all the years between 2006-2015, been the second-highest for Latino or Hispanic people."
2,"On average in the time period, people Asian people had the lowest unemployment rate."
3,"The variation within White people, tends to be considerably less than for the other ethnicities."
3,The variation for Latino and Hispanic people decreased from about 2011.
3,The unemployment rate across all the ethnicities in the table increased considerably between 2008 and 2010.
3,"After 2010, the unemployment rate has gradually sunk towards the level observed before the 2008-increase."
4,The increase in 2008 was likely due to the financial crisis.
4,"During the financial crisis, the rate of employment for Hispanic/Latino people diverged more from the rates of White and Asian people."
4,"The Black community is the one that suffers unemployment the most, meanwhile White and Asian people are the most favored by the system."
3,"Around the year 2006, there was a clear inequality between races, however the unemployment rates were all pretty low."
3,"From 2008 these rates started increasing very drastically (especially for Black and Hispanic/Latino people), reaching their peak in the year 2010."
3,"Since then, they started decreasing until they reached levels similar to those in 2006."
3,The US employment rate tends to increase and decrease with respect to race and year.
3,"Black, Hispanic/Latino, White and Asian unemployment tends to increase from year 2009 to 2012 with a slight decrease from 2012."
3,The unemployment rates in the US seems to be improving for all races in recent years.
2,Unemployment peaked for all races in 2010.
2,Unemployment increased sharply in 2009 for all races.
3,From 2010 to 2015 it appears that unemployment has been decreasing gradually for all races.
2,"Unemployment is consistently highest for Black people, second highest for Hispanic/Latino people, third highest for White people and lowest for Asian people."
3,"While all four lines follow the same general increases and decreases, the lines for Black, Hispanic/Latino and Asian people all have similar smaller peaks and troughs, while the line for White people tends to be smoother overall."
2,"At one point in 2014, unemployment for Asian people temporarily increased above that of White people."
3,At the beginning of 2009 all races/ethnicities experienced very high unemployment rate.
2,Black people suffer the most from unemployment.
3,"Except for White people, the unemployment rate is very shaky."
4,This very chart might suggest how systematic racism is a factor in employment.
2,"For all races, the highest unemployment rate was in 2010 to 2012."
2,"For all races, the lowest unemployment rate was before 2009."
2,Black people have the highest unemployment rates overall.
2,Asian people have the lowest unemployment rates overall.
3,Since 2012 the unemployment rate is going down consistently for all races.
2,In 2016 none of the races has an unemployment rate over 10%.
1,"A multi-line plot entitled “Difference in Unemployment Rate Between Genders, United States vs."
1,World”.
1,The y-axis plots Women Unemployment Rate - Men Unemployment Rate (%) from -2.0 to 1.5 with an increment of 0.5.
1,The x-axis plots the year from 1990 to 2018 with an increment of 1.
1,The Worldwide Average (in orange) and the United States (in green).
1,"A dashed horizontal black line at 0.0 represents an Equal Unemployment Rate, and separates the Higher Female Unemployment region from the Higher Male Unemployment region"
3,"Generally, the United States has a lower unemployment rate for women than the rest of the world."
2,"In 2008, the United States experienced a very high employment rate for males."
2,The highest employment rate for women in the United States occurred in 2000.
3,"The women/men unemployment ratio for the United States follows general trends of the curve for the global unemployment women/men unemployment ratio, except for in 2008 when male unemployment was much higher."
3,"Generally, the female unemployment rate has remained more consistent than the male unemployment."
2,In 2009 the unemployment rate of the males increased almost 2 points since the year before.
3,"Two years later, the unemployment rate of the males bounced back by decreasing 2 points."
2,"Worldwide, women are consistently more unemployed than men since 1990."
3,"In the United States, the unemployment rates for men and women is more volatile."
3,The USA is much less constant in the women/men unemployment rate.
2,The United States always has a higher male unemployment rate than female unemployment.
2,The US experienced a much higher peak in male unemployment than the Worldwide average in 2009.
3,"Typically the US follows the general trend of the Worldwide average across the span of the years (1990 to 2018), except for in 2008-2011."
3,"From 2016 onwards, male and female unemployment rates are more equal in the United States than Worldwide."
3,"The world average shows that, in general, there were more unemployed women than men."
3,"The U.S. average shows that, even though from 1995 to 2001 there were more unemployed women, in general there were more unemployed men."
4,"This might be due to the fact that women started working more after the feminist revolution, but since there is still employment discrimination in some jobs, women might be more willing to do jobs that provide a lower income."
3,The Worldwide average unemployment rate for women is consistently higher than in the United States.
3,"In the United States, the unemployment rate is consistently higher for men, but sometimes comes close to equal unemployment for men and women."
2,At a few points (1995-200 and 2005-2006) the unemployment rate is higher for women in the United States.
3,"In 2008, the unemployment rate shifted greatly toward men in the United States, but not in the rest of the World."
